Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2016-07-18,18:28:47,Running,,10.01,50:49:00,05:05,11.82,682.9999996,92,151,,TomTom MySports Watch,2016-07-18-182847.gpx
2016-07-16,17:27:12,Running,,22.06,02:08:28,05:49,10.3,1524.999999,354,143,,TomTom MySports Watch,2016-07-16-172712.gpx
2016-07-12,18:20:28,Running,,9.71,50:45:00,05:14,11.47,696,52,,,,2016-07-12-182028.gpx
2016-07-10,16:35:25,Running,,19.27,01:49:48,05:42,10.53,1323.999999,319,142,,TomTom MySports Watch,2016-07-10-163525.gpx
2016-07-04,18:24:46,Running,,16.46,01:28:53,05:24,11.11,1139.999999,146,144,,TomTom MySports Watch,2016-07-04-182446.gpx
2016-07-02,17:52:07,Running,,13.55,01:18:01,05:46,10.42,933.9999995,189,137,,TomTom MySports Watch,2016-07-02-175207.gpx
2016-06-27,18:40:44,Running,,13.28,01:12:43,05:29,10.96,903.9999995,180,146,,TomTom MySports Watch,2016-06-27-184044.gpx
2016-06-25,17:02:44,Running,,13.22,01:16:38,05:48,10.35,917.9999995,226,142,,TomTom MySports Watch,2016-06-25-170244.gpx
2016-06-23,18:29:58,Running,,10.02,51:35:00,05:09,11.65,719,60,,,"Very hot, up to 30+
",2016-06-23-182958.gpx
2016-06-19,17:04:31,Running,,18.59,01:49:24,05:53,10.19,1283.999999,295,142,,TomTom MySports Watch,2016-06-19-170431.gpx
2016-06-14,18:40:51,Running,,13.21,01:08:35,05:11,11.56,904.9999995,119,155,,TomTom MySports Watch,2016-06-14-184051.gpx
2016-06-12,12:07:08,Running,,19.89,01:45:59,05:20,11.26,1452,202,,,,2016-06-12-120708.gpx
2016-06-05,17:10:29,Running,,15.52,01:30:35,05:50,10.28,1073.999999,254,142,,TomTom MySports Watch,2016-06-05-171029.gpx
2016-06-02,18:43:44,Running,,13.24,01:09:06,05:13,11.5,910.9999995,117,145,,TomTom MySports Watch,2016-06-02-184344.gpx
2016-05-30,18:51:32,Running,,10.03,52:02:00,05:11,11.57,685.9999996,91,145,,TomTom MySports Watch,2016-05-30-185132.gpx
2016-05-26,18:30:37,Running,,12.88,01:08:16,05:18,11.32,892.9999995,145,149,,TomTom MySports Watch,2016-05-26-183037.gpx
2016-05-23,18:26:58,Running,,10.02,51:25:00,05:08,11.68,720,64,,,,2016-05-23-182658.gpx
2016-05-22,15:31:06,Cycling,,39.62,01:48:59,02:45,21.81,877,319,,,,2016-05-22-153106.gpx
2016-05-19,18:54:07,Running,,10.14,55:00:00,05:26,11.06,701.9999996,99,145,,TomTom MySports Watch,2016-05-19-185407.gpx
2016-05-09,16:46:49,Running,,13.5,01:15:04,05:34,10.79,920.9999995,181,147,,TomTom MySports Watch,2016-05-09-164649.gpx
2016-04-24,17:16:01,Running,,12.85,01:16:56,05:59,10.02,902.9999995,185,142,,TomTom MySports Watch,2016-04-24-171601.gpx
2016-04-17,16:20:56,Running,,13.47,01:17:55,05:47,10.37,927.9999995,180,140,,TomTom MySports Watch,2016-04-17-162056.gpx
2016-04-11,18:25:11,Running,,8.88,47:00:00,05:17,11.34,615.9999996,83,143,,TomTom MySports Watch,2016-04-11-182511.gpx
2016-04-07,18:50:38,Running,,10,51:15:00,05:07,11.71,684.9999996,92,145,,TomTom MySports Watch,2016-04-07-185038.gpx
2016-04-03,16:27:37,Running,,10.3,58:59:00,05:44,10.47,705.9999996,143,142,,TomTom MySports Watch,2016-04-03-162737.gpx
2016-03-28,16:12:15,Running,,15.62,01:32:26,05:55,10.14,1084.999999,258,145,,TomTom MySports Watch,2016-03-28-161215.gpx
2016-03-21,18:51:35,Running,,9.1,51:25:00,05:39,10.62,625.9999996,85,142,,TomTom MySports Watch,2016-03-21-185135.gpx
2016-03-13,13:02:38,Running,,7.19,43:26:00,06:03,9.93,511.9999997,111,136,,TomTom MySports Watch,2016-03-13-130238.gpx
2016-03-07,13:23:44,Running,,13.69,01:20:39,05:54,10.18,995,141,,,,2016-03-07-132344.gpx
2016-02-28,13:37:46,Running,,13.48,01:19:28,05:54,10.18,941.9999995,183,144,,TomTom MySports Watch,2016-02-28-133746.gpx
2016-02-21,15:48:48,Running,,13.69,01:22:23,06:01,9.97,997,144,,,"Cold and windy
",2016-02-21-154848.gpx
2016-02-18,19:09:01,Running,,6.92,39:25:00,05:42,10.54,472.9999997,67,141,,TomTom MySports Watch,2016-02-18-190901.gpx
2016-02-15,18:37:04,Running,,10.02,01:00:08,06:00,10,702.9999996,92,157,,TomTom MySports Watch,2016-02-15-183704.gpx
2016-02-08,18:09:03,Running,,6.81,41:18:00,06:04,9.89,488.9999997,68,165,,TomTom MySports Watch,2016-02-08-180903.gpx
2016-02-04,18:46:32,Running,,6.84,40:02:00,05:51,10.25,477.9999997,67,139,,TomTom MySports Watch,2016-02-04-184632.gpx
2016-01-14,18:40:08,Running,,7,41:18:00,05:54,10.17,486.9999997,70,142,,TomTom MySports Watch,2016-01-14-184008.gpx
2015-12-27,13:14:59,Running,,13.53,01:16:48,05:41,10.57,921.9999995,185,152,,TomTom MySports Watch,2015-12-27-131459.gpx
2015-12-23,18:45:03,Running,,10.12,59:02:00,05:50,10.29,692.9999996,95,158,,TomTom MySports Watch,2015-12-23-184503.gpx
2015-12-21,18:31:25,Running,,10.02,57:55:00,05:47,10.38,686.9999996,91,138,,TomTom MySports Watch,2015-12-21-183125.gpx
2015-12-06,12:54:29,Running,,13.77,01:18:04,05:40,10.58,1009,146,,,,2015-12-06-125429.gpx
2015-11-17,18:37:11,Running,,10,58:32:00,05:51,10.25,687.9999996,93,140,,TomTom MySports Watch,2015-11-17-183711.gpx
2015-11-09,18:21:31,Running,,9.72,55:01:00,05:40,10.6,658.9999996,89,131,,TomTom MySports Watch,2015-11-09-182131.gpx
2015-11-02,18:23:37,Running,,6.6,36:15:00,05:30,10.92,455.9999997,62,145,,TomTom MySports Watch,2015-11-02-182337.gpx
2015-10-18,15:43:06,Cycling,,16.67,01:08:46,04:08,14.54,427,166,,,,2015-10-18-154306.gpx
2015-10-04,10:15:57,Running,,38.32,04:28:19,07:00,8.57,2587.999999,646,140,,TomTom MySports Watch,2015-10-04-101557.gpx
2015-09-28,18:21:21,Running,,18.94,01:44:26,05:31,10.88,1300.999999,158,138,,TomTom MySports Watch,2015-09-28-182121.gpx
2015-09-24,18:28:14,Running,,9.43,51:16:00,05:26,11.03,649.9999996,77,138,,TomTom MySports Watch,2015-09-24-182814.gpx
2015-09-21,18:13:10,Running,,9.65,46:56:00,04:52,12.33,635.9999996,83,153,,TomTom MySports Watch,2015-09-21-181310.gpx
2015-09-18,18:39:38,Running,,22.15,02:01:30,05:29,10.94,1543.999999,182,149,,TomTom MySports Watch,2015-09-18-183938.gpx
2015-09-16,17:59:37,Running,,19.35,01:46:38,05:31,10.89,1299.999999,303,146,,TomTom MySports Watch,2015-09-16-175937.gpx
2015-09-13,17:14:13,Running,,23.95,02:23:03,05:58,10.04,1657.999999,390,140,,TomTom MySports Watch,2015-09-13-171413.gpx
2015-09-09,18:37:26,Running,,15.88,01:24:05,05:18,11.33,1101.999999,132,145,,TomTom MySports Watch,2015-09-09-183726.gpx
2015-09-07,18:47:06,Running,,15.62,01:22:49,05:18,11.32,1069.999999,241,144,,TomTom MySports Watch,2015-09-07-184706.gpx
2015-09-03,18:49:40,Running,,9.55,53:21:00,05:35,10.74,653.9999996,85,127,,TomTom MySports Watch,2015-09-03-184940.gpx
2015-08-24,17:21:48,Running,,28.14,02:46:07,05:54,10.17,1971.999999,518,138,,TomTom MySports Watch,2015-08-24-172148.gpx
2015-08-23,17:35:47,Cycling,,35.09,01:32:58,02:39,22.64,786,336,,,,2015-08-23-173547.gpx
2015-08-21,18:18:37,Running,,12.48,01:08:30,05:29,10.93,853.9999995,102,151,,TomTom MySports Watch,2015-08-21-181837.gpx
2015-08-16,17:35:23,Running,,26.01,02:33:13,05:54,10.18,1793.999999,436,136,,TomTom MySports Watch,2015-08-16-173523.gpx
2015-08-15,18:46:21,Cycling,,13.72,38:39:00,02:49,21.3,313,139,,,,2015-08-15-184621.gpx
2015-08-14,17:44:35,Running,,19.04,01:52:10,05:54,10.18,1315.999999,301,130,,TomTom MySports Watch,2015-08-14-174435.gpx
2015-08-09,16:29:48,Running,,18.58,01:48:49,05:51,10.25,1278.999999,285,138,,TomTom MySports Watch,2015-08-09-162948.gpx
2015-08-03,18:30:49,Running,,18.95,01:38:16,05:11,11.57,1298.999999,156,149,,TomTom MySports Watch,2015-08-03-183049.gpx
2015-08-01,18:40:14,Cycling,,18.79,56:41:00,03:01,19.88,430,195,,,,2015-08-01-184014.gpx
2015-07-29,18:14:34,Running,,0.76,05:15,06:55,8.67,53.99999997,6,133,,TomTom MySports Watch,2015-07-29-181434.gpx
2015-07-26,08:02:36,Running,,22.09,02:16:22,06:10,9.72,1557,372,142,,,2015-07-26-080236.gpx
2015-07-24,18:49:43,Running,,12.69,01:05:15,05:09,11.67,858,108,146,,,2015-07-24-184943.gpx
2015-07-21,18:22:38,Running,,12.66,01:08:07,05:23,11.15,867.9999995,109,138,,TomTom MySports Watch,2015-07-21-182238.gpx
2015-07-19,17:19:38,Running,,23.88,02:27:32,06:11,9.71,1688,391,135,,,2015-07-19-171938.gpx
2015-07-16,18:32:18,Running,,9.57,45:28:00,04:45,12.63,628,77,148,,,2015-07-16-183218.gpx
2015-07-14,18:39:53,Running,,12.66,01:04:46,05:07,11.73,852,108,145,,,2015-07-14-183953.gpx
2015-07-12,18:14:14,Running,,19.04,01:51:58,05:53,10.2,1316,295,133,,,2015-07-12-181414.gpx
2015-07-10,18:35:16,Running,,19.02,01:34:06,04:57,12.13,1279,156,144,,,2015-07-10-183516.gpx
2015-07-07,18:39:38,Running,,9.55,48:59:00,05:08,11.7,650,88,143,,,2015-07-07-183938.gpx
2015-07-05,17:53:06,Running,,19.7,01:52:23,05:42,10.52,1358,303,142,,,2015-07-05-175306.gpx
2015-07-01,18:16:02,Running,,18.83,01:34:34,05:01,11.95,1268,154,142,,,2015-07-01-181602.gpx
2015-06-28,17:39:02,Running,,19.81,01:55:57,05:51,10.25,1360,313,133,,,2015-06-28-173902.gpx
2015-06-24,18:27:23,Running,,11.14,01:03:45,05:43,10.49,766,162,133,,,2015-06-24-182723.gpx
2015-06-22,18:19:53,Running,,18.84,01:41:17,05:22,11.16,1294,156,141,,,2015-06-22-181953.gpx
2015-06-21,17:53:46,Cycling,,34.49,01:35:39,02:46,21.63,751,318,,,,2015-06-21-175346.gpx
2015-06-17,18:39:44,Running,,12.61,01:07:45,05:22,11.17,859,109,137,,,2015-06-17-183944.gpx
2015-06-15,18:27:00,Running,,12.64,01:02:17,04:56,12.18,926,107,158,,,2015-06-15-182700.gpx
2015-06-14,17:03:23,Cycling,,28.49,01:20:47,02:50,21.16,621,294,,,,2015-06-14-170323.gpx
2015-06-12,18:27:52,Running,,12.63,01:02:18,04:56,12.16,855,107,154,,,2015-06-12-182752.gpx
2015-06-10,18:14:03,Running,,14.35,01:21:05,05:39,10.62,986,226,136,,,2015-06-10-181403.gpx
2015-06-08,18:18:18,Running,,9.6,44:45:00,04:40,12.88,626,85,161,,,2015-06-08-181818.gpx
2015-06-07,16:51:14,Running,,13.01,01:13:07,05:37,10.68,876,193,147,,,2015-06-07-165114.gpx
2015-06-06,18:30:39,Cycling,,18.96,01:19:02,04:10,14.39,510,123,,,,2015-06-06-183039.gpx
2015-06-04,18:15:45,Running,,15.97,01:23:18,05:13,11.5,1097,135,141,,,2015-06-04-181545.gpx
2015-06-01,17:40:42,Running,,11.85,01:04:46,05:28,10.98,810,180,145,,,2015-06-01-174042.gpx
2015-05-31,04:02:00,Cycling,,29.4,02:35:00,05:16,11.38,710,58,,,,2015-05-31-040200.gpx
2015-05-29,18:45:22,Running,,9.73,46:22:00,04:46,12.59,636,84,150,,,2015-05-29-184522.gpx
2015-05-27,18:19:22,Running,,12.8,01:03:46,04:59,12.05,859,108,150,,,2015-05-27-181922.gpx
2015-05-23,19:07:40,Cycling,,13.65,43:06:00,03:09,19,332,144,124,,,2015-05-23-190740.gpx
2015-05-21,18:45:51,Running,,9.54,45:19:00,04:45,12.64,624,82,147,,,2015-05-21-184551.gpx
2015-05-19,18:48:36,Running,,12.73,01:02:30,04:55,12.22,859,109,134,,,2015-05-19-184836.gpx
2015-05-17,17:33:15,Running,,9.64,48:27:00,05:02,11.94,642,85,150,,,2015-05-17-173315.gpx
2015-05-13,18:39:34,Running,,12.71,01:09:15,05:27,11.01,875,108,158,,,2015-05-13-183934.gpx
2015-05-11,18:39:02,Running,,9.61,48:38:00,05:04,11.86,653,91,158,,,2015-05-11-183902.gpx
2015-05-06,18:18:49,Running,,12.83,01:07:10,05:14,11.46,880,107,142,,,2015-05-06-181849.gpx
2015-05-02,18:48:03,Running,,7.39,43:11:00,05:50,10.27,509,162,165,,,2015-05-02-184803.gpx
2015-05-01,18:05:38,Cycling,,11.41,42:39:00,03:44,16.06,282,132,125,,,2015-05-01-180538.gpx
2015-04-26,09:03:15,Running,,21.12,01:38:42,04:40,12.84,1381,982,170,,,2015-04-26-090315.gpx
2015-04-23,18:48:37,Running,,6.87,37:32:00,05:28,10.97,493,81,,,,2015-04-23-184837.gpx
2015-04-15,18:38:43,Running,,12.68,01:05:47,05:11,11.56,869,110,141,,,2015-04-15-183843.gpx
2015-04-13,16:57:26,Running,,18.06,01:53:38,06:17,9.54,1240,228,140,,,2015-04-13-165726.gpx
2015-04-07,18:33:21,Running,,15.79,01:22:37,05:14,11.46,1090,135,152,,,2015-04-07-183321.gpx
2015-04-02,18:50:23,Running,,12.83,01:06:28,05:11,11.58,873,106,146,,,2015-04-02-185023.gpx
2015-03-30,18:10:03,Running,,5.73,30:12:00,05:17,11.37,395,50,123,,,2015-03-30-181003.gpx
2015-03-25,18:40:19,Running,,9.73,55:12:00,05:40,10.58,660,84,131,,,2015-03-25-184019.gpx
2015-03-16,18:23:38,Running,,16.15,01:26:37,05:22,11.19,1118,133,131,,,2015-03-16-182338.gpx
2015-03-11,18:21:26,Running,,15.91,01:28:23,05:33,10.8,1082,136,140,,,2015-03-11-182126.gpx
2015-03-06,18:44:58,Running,,12.81,01:06:04,05:09,11.63,868,106,172,,,2015-03-06-184458.gpx
2015-03-04,19:00:17,Running,,10.25,58:27:00,05:42,10.52,691,90,125,,,2015-03-04-190017.gpx
2015-03-02,18:15:36,Running,,15.99,01:31:46,05:44,10.46,1079,128,154,,,2015-03-02-181536.gpx
2015-02-28,09:11:09,Running,,3.5,20:19,05:48,10.34,238,33,116,,,2015-02-28-091109.gpx
2015-02-25,18:18:41,Running,,9.78,54:08:00,05:32,10.84,661,87,144,,,2015-02-25-181841.gpx
2015-02-23,18:14:09,Running,,12.84,01:10:50,05:31,10.88,883,105,141,,,2015-02-23-181409.gpx
2015-02-17,18:34:53,Running,,9.86,55:53:00,05:40,10.58,707,60,,,,2015-02-17-183453.gpx
2015-02-12,18:22:44,Running,,6.75,36:25:00,05:24,11.12,485,42,,,,2015-02-12-182244.gpx
2015-02-09,18:40:18,Running,,9.94,55:22:00,05:34,10.77,723.2083999,61,,,,2015-02-09-184018.gpx
2015-02-04,18:31:10,Running,,10.23,55:10:00,05:24,11.12,652,59,,,,2015-02-04-183110.gpx
2015-02-02,18:31:00,Running,,9.91,58:57:00,05:57,10.08,725.2215765,259,,,,2015-02-02-183100.gpx
2015-01-31,09:30:04,Running,,6.55,40:01:00,06:06,9.83,436,37,,,,2015-01-31-093004.gpx
2015-01-28,18:43:29,Running,,10.02,55:13:00,05:31,10.89,726.1767039,61,,,,2015-01-28-184329.gpx
2015-01-26,18:30:18,Running,,13.11,01:14:30,05:41,10.55,960.6966401,76,,,,2015-01-26-183018.gpx
2015-01-14,17:50:00,Running,,9.78,52:45:00,05:24,11.12,654,51,,,,2015-01-14-175000.gpx
2015-01-12,18:20:00,Running,,9.78,51:45:00,05:18,11.34,655,51,,,,2015-01-12-182000.gpx
2015-01-03,17:20:00,Running,,9.78,52:45:00,05:24,11.12,654,51,,,,2015-01-03-172000.gpx
2014-12-26,17:50:00,Running,,9.78,49:45:00,05:05,11.79,655,51,,,,2014-12-26-175000.gpx
2014-12-24,18:18:00,Running,,6.59,32:00:00,04:51,12.35,461,33,,,,2014-12-24-181800.gpx
2014-12-08,16:18:00,Running,,6.63,32:00:00,04:49,12.44,431,33,,,,2014-12-08-161800.gpx
2014-12-03,18:18:00,Running,,6.63,32:00:00,04:49,12.44,431,33,,,,2014-12-03-181800.gpx
2014-12-01,18:18:00,Running,,6.63,32:00:00,04:49,12.44,429,33,,,,2014-12-01-181800.gpx
2014-11-25,17:50:00,Running,,9.78,51:45:00,05:18,11.34,655,51,,,,2014-11-25-175000.gpx
2014-11-19,18:18:00,Running,,6.22,31:00:00,04:59,12.03,446,33,,,,2014-11-19-181800.gpx
2014-11-11,15:50:00,Running,,9.78,49:45:00,05:05,11.79,655,51,,,,2014-11-11-155000.gpx
2014-11-04,18:18:00,Running,,6.22,32:00:00,05:09,11.66,445,33,,,,2014-11-04-181800.gpx
2014-10-30,17:50:00,Running,,9.78,49:45:00,05:05,11.79,658,51,,,,2014-10-30-175000.gpx
2014-10-27,18:30:00,Running,,12.98,01:05:45,05:04,11.85,888,67,,,,2014-10-27-183000.gpx
2014-10-22,17:50:00,Running,,9.61,49:45:00,05:10,11.59,670,54,,,,2014-10-22-175000.gpx
2014-10-20,18:10:00,Running,,9.61,51:17:00,05:20,11.25,672,54,,,,2014-10-20-181000.gpx
2014-10-14,18:10:00,Running,,12.82,01:02:45,04:54,12.26,913,70,,,,2014-10-14-181000.gpx
2014-10-09,18:10:00,Running,,9.61,52:17:00,05:26,11.03,677,54,,,,2014-10-09-181000.gpx
2014-10-07,19:10:00,Running,,9.61,49:17:00,05:08,11.7,679,54,,,,2014-10-07-191000.gpx
2014-09-28,10:01:30,Running,,21.32,01:45:27,04:57,12.13,1633,447,,,,2014-09-28-100130.gpx
2014-09-23,18:10:00,Running,,12.82,01:02:45,04:54,12.26,921,70,,,,2014-09-23-181000.gpx
2014-09-18,18:12:00,Running,,19.19,01:42:03,05:19,11.29,1353,111,,,,2014-09-18-181200.gpx
2014-09-15,18:30:00,Running,,9.55,48:54:00,05:07,11.72,684,51,,,,2014-09-15-183000.gpx
2014-09-11,19:10:00,Running,,9.61,48:22:00,05:02,11.93,682,54,,,,2014-09-11-191000.gpx
2014-09-08,18:00:00,Running,,19.19,01:42:03,05:19,11.29,1356,111,,,,2014-09-08-180000.gpx
2014-09-04,18:55:54,Running,,9.61,50:22:00,05:14,11.45,690,54,,,,2014-09-04-185554.gpx
2014-09-01,18:46:00,Running,,15.59,01:23:41,05:22,11.18,1125,110,,,,2014-09-01-184600.gpx
2014-08-29,18:56:02,Cycling,,20.7,01:00:37,02:56,20.49,519,113,,,,2014-08-29-185602.gpx
2014-08-28,18:10:00,Running,,12.82,01:05:45,05:08,11.7,920,70,,,,2014-08-28-181000.gpx
2014-08-26,18:16:03,Running,,16.06,01:21:39,05:05,11.8,1151,89,,,,2014-08-26-181603.gpx
2014-08-21,18:49:00,Running,,9.55,53:54:00,05:39,10.63,684,51,,,,2014-08-21-184900.gpx
2014-08-18,18:37:00,Running,,12.82,01:05:44,05:08,11.7,920,70,,,,2014-08-18-183700.gpx
2014-08-12,18:50:00,Running,,9.55,53:54:00,05:39,10.63,684,51,,,HOT!,2014-08-12-185000.gpx
2014-08-08,08:00:16,Running,,9.82,50:20:00,05:08,11.7,703,62,,,,2014-08-08-080016.gpx
2014-07-25,18:35:00,Running,,13.17,01:05:08,04:57,12.13,925,83,,,,2014-07-25-183500.gpx
2014-07-22,18:08:00,Running,,12.75,59:41:00,04:41,12.81,889,71,,,,2014-07-22-180800.gpx
2014-07-17,18:30:00,Running,,9.55,53:54:00,05:39,10.63,684,51,,,"It was not easy, as it was +29 Celcius",2014-07-17-183000.gpx
2014-07-10,18:45:00,Running,,12.75,01:00:41,04:46,12.6,884,71,,,"It was raining heavily, which was absolute fun to run that distance",2014-07-10-184500.gpx
2014-07-02,18:31:00,Running,,12.75,01:02:41,04:55,12.2,888,71,,,,2014-07-02-183100.gpx
2014-06-24,18:12:00,Running,,16.21,01:21:46,05:03,11.89,1145,85,,,,2014-06-24-181200.gpx
2014-06-18,18:29:00,Running,,16.21,01:21:46,05:03,11.89,1145,85,,,,2014-06-18-182900.gpx
2014-06-11,18:08:00,Running,,12.75,01:02:41,04:55,12.2,895,71,,,,2014-06-11-180800.gpx
2014-06-04,18:07:39,Running,,16.17,01:20:57,05:00,11.98,1146,93,,,,2014-06-04-180739.gpx
2014-05-26,18:30:00,Running,,9.55,53:54:00,05:39,10.63,684,51,,,,2014-05-26-183000.gpx
2014-05-21,18:45:00,Running,,12.75,01:01:41,04:50,12.4,893,71,,,,2014-05-21-184500.gpx
2014-05-19,18:15:00,Running,,12.75,01:03:01,04:57,12.14,895,71,,,,2014-05-19-181500.gpx
2014-05-17,07:50:00,Running,,6.56,35:23:00,05:24,11.12,470,36,,,,2014-05-17-075000.gpx
2014-05-14,18:09:11,Running,,13.17,01:05:08,04:57,12.13,930,84,,,,2014-05-14-180911.gpx
2014-05-12,18:06:22,Running,,12.63,01:01:22,04:51,12.35,906,69,,,,2014-05-12-180622.gpx
2014-05-06,18:32:00,Running,,12.85,01:05:41,05:07,11.74,903,71,,,,2014-05-06-183200.gpx
2014-05-02,18:47:02,Running,,7.08,37:56:00,05:21,11.2,537,127,,,,2014-05-02-184702.gpx
2014-04-27,10:00:00,Running,,21.73,01:46:38,04:54,12.23,1543,22,,,,2014-04-27-100000.gpx
2014-04-21,19:08:29,Running,,12.75,59:41:00,04:41,12.81,908,71,,,,2014-04-21-190829.gpx
2014-04-16,18:22:23,Running,,19.08,01:35:03,04:59,12.04,1361,111,,,,2014-04-16-182223.gpx
2014-04-14,18:19:40,Running,,12.83,01:04:32,05:02,11.92,891,71,,,,2014-04-14-181940.gpx
2014-04-09,18:29:04,Running,,16.21,01:21:45,05:03,11.9,1145,85,,,,2014-04-09-182904.gpx
2014-04-07,18:28:42,Running,,12.57,01:04:09,05:06,11.75,901,73,,,,2014-04-07-182842.gpx
2014-04-02,18:30:00,Running,,12.47,01:04:33,05:11,11.59,895,69,,,,2014-04-02-183000.gpx
2014-04-02,18:18:43,Running,,6.22,32:00:00,05:09,11.65,446,33,,,,2014-04-02-181843.gpx
2014-03-24,18:56:12,Running,,6.32,36:30:00,05:47,10.39,455,36,,,,2014-03-24-185612.gpx
2014-03-20,18:49:11,Running,,9.55,53:54:00,05:39,10.63,684,51,,,,2014-03-20-184911.gpx
2014-03-18,18:49:39,Running,,9.71,57:20:00,05:55,10.15,672,53,,,,2014-03-18-184939.gpx
2014-03-13,18:41:49,Running,,8.62,51:36:00,05:59,10.02,613,48,,,,2014-03-13-184149.gpx
2014-03-11,19:14:15,Running,,6.35,36:54:00,05:49,10.33,455,34,,,,2014-03-11-191415.gpx
2014-03-04,18:45:09,Running,,9.45,53:34:00,05:40,10.58,677,52,,,,2014-03-04-184509.gpx
2014-02-28,18:34:12,Running,,6.34,36:02:00,05:41,10.56,454,32,,,,2014-02-28-183412.gpx
2014-02-25,18:23:39,Running,,6.33,36:09:00,05:43,10.51,454,35,,,,2014-02-25-182339.gpx
2014-02-19,18:40:00,Running,,6.38,36:10:00,05:40,10.58,458,34,,,,2014-02-19-184000.gpx
2014-02-15,08:55:15,Running,,6.29,34:34:00,05:30,10.91,449,35,,,,2014-02-15-085515.gpx
2014-02-13,18:08:01,Running,,6.38,38:00:00,05:57,10.08,458,34,,,,2014-02-13-180801.gpx
2014-02-06,06:32:00,Running,,6.56,42:23:00,06:28,9.29,474,36,,,,2014-02-06-063200.gpx
2014-01-07,18:13:04,Running,,10.81,01:01:31,05:42,10.54,774,56,,,,2014-01-07-181304.gpx
2014-01-02,09:45:05,Running,,3.38,18:10,05:23,11.16,241,16,,,,2014-01-02-094505.gpx
2013-12-31,08:32:35,Running,,6.57,36:02:00,05:29,10.93,471,36,,,,2013-12-31-083235.gpx
2013-12-23,18:59:00,Running,,9.5,54:08:00,05:42,10.53,676,52,,,,2013-12-23-185900.gpx
2013-12-21,07:39:48,Running,,6.34,36:02:00,05:41,10.56,454,33,,,,2013-12-21-073948.gpx
2013-12-19,18:58:42,Running,,9.5,53:06:00,05:35,10.73,679,52,,,,2013-12-19-185842.gpx
2013-12-07,09:15:00,Running,,6.3,34:59:00,05:33,10.8,452,35,,,,2013-12-07-091500.gpx
2013-12-04,18:36:22,Running,,12.48,01:10:42,05:40,10.59,896,69,,,,2013-12-04-183622.gpx
2013-11-30,09:06:01,Running,,6.33,34:24:00,05:26,11.03,451,35,,,,2013-11-30-090601.gpx
2013-11-20,18:18:12,Running,,11.73,01:06:41,05:41,10.55,840,63,,,,2013-11-20-181812.gpx
2013-11-16,09:00:24,Running,,6.15,32:46:00,05:20,11.26,424,21,,,,
2013-11-07,19:00:59,Running,,9.47,50:07:00,05:18,11.33,679,53,,,,2013-11-07-190059.gpx
2013-11-02,09:15:18,Running,,3.14,18:23,05:51,10.25,226,18,,,,2013-11-02-091518.gpx
2013-10-30,18:42:16,Running,,5.81,33:12:00,05:43,10.49,413,32,,,,2013-10-30-184216.gpx
2013-10-23,18:51:35,Running,,6.3,35:41:00,05:40,10.59,453,35,,,,2013-10-23-185135.gpx
2013-10-18,18:07:56,Running,,12.53,01:09:46,05:34,10.77,897,74,,,,2013-10-18-180756.gpx
2013-10-15,18:28:14,Running,,8.57,49:35:00,05:47,10.37,616,45,,,,2013-10-15-182814.gpx
2013-10-12,09:36:00,Running,,6.36,34:21:00,05:24,11.11,455,35,,,,2013-10-12-093600.gpx
2013-10-10,18:08:08,Running,,9.34,50:21:00,05:24,11.12,669,52,,,,2013-10-10-180808.gpx
2013-10-05,07:36:47,Running,,6.36,34:21:00,05:24,11.1,455,35,,,,2013-10-05-073647.gpx
2013-09-30,18:50:38,Running,,6.45,32:41:00,05:04,11.84,462,34,,,,2013-09-30-185038.gpx
2013-09-10,18:13:42,Running,,12.72,01:01:54,04:52,12.33,1018,398,,,,2013-09-10-181342.gpx
2013-09-02,19:10:44,Running,,6.41,32:23:00,05:03,11.88,458,34,,,,2013-09-02-191044.gpx
2013-08-17,08:09:12,Running,,6.45,31:22:00,04:52,12.32,449,30,,,,2013-08-17-080912.gpx
2013-08-15,18:49:50,Walking,,2.48,02:23:46,57:56:00,1.04,306,67,,,,2013-08-15-184950.gpx
2013-08-14,18:17:00,Running,,15.61,01:25:55,05:30,10.9,1121,88,,,,2013-08-14-181700.gpx
2013-08-08,18:30:36,Running,,12.47,01:06:33,05:20,11.24,891,61,,,,2013-08-08-183036.gpx
2013-08-08,07:56:08,Walking,,1.51,15:24,10:11,5.89,85,6,,,,2013-08-08-075608.gpx
2013-08-04,08:27:54,Running,,12.49,01:06:24,05:19,11.29,896,68,,,,2013-08-04-082754.gpx
2013-07-30,18:49:22,Running,,12.47,01:05:43,05:16,11.39,893,67,,,,2013-07-30-184922.gpx
2013-07-21,07:57:30,Running,,11.87,01:00:37,05:07,11.74,845,64,,,,2013-07-21-075730.gpx
2013-07-19,18:40:13,Running,,1.72,08:33,04:58,12.07,40,6,,,,2013-07-19-184013.gpx
2013-07-18,07:47:00,Running,,6.15,32:36:00,05:18,11.33,416,30,,,,2013-07-18-074700.gpx
2013-07-07,08:43:13,Running,,3.75,21:36,05:46,10.41,281,56,,,,2013-07-07-084313.gpx
2013-07-06,07:15:00,Running,,3.75,21:12,05:39,10.61,280,55,,,,2013-07-06-071500.gpx
